Age,Gender,Year,Course,Branch,Bank_Account,Bank_Name,Demat_Account,Broker_Name,Trading_Segment,Income,Income_Source,Expenses,Track_Expenses,Budgeting_Knowledge,Savings
23.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
21.0,Male,2nd year,B.Com,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,13
24.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds;Commodity,less than 10k,Family support,5k to 15k,Yes,Yes,0
23.0,Female,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,0
20.0,Female,2nd year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,488
20.0,Male,1st year,B.Tech,CSE,Yes,ICICI Bank,Yes,Zerodha,Futures & Options;Mutual Funds,less than 10k,Family support,less than 5k,Yes,Yes,727
24.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds;Commodity,less than 10k,Family support,5k to 15k,Yes,Yes,167
22.0,Male,3rd year,B.Tech,Electrical,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,36
20.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,No,No,3052
20.0,Male,1st year,BA,Not Applicable,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
19.0,Male,1st year,B.Tech,Aerospace,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,449
20.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Grow,Futures & Options,less than 10k,Family support,less than 5k,Yes,No,783
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Internship,less than 5k,Yes,No,470
21.0,Male,4th year,B.Tech,CSE,Yes,HDFC Bank,Yes,Zerodha,Equity;Mutual Funds,10k to 30k,Family support,15k to 30k,No,Yes,112
20.0,Male,3rd year,BBA,Not Applicable,Yes,State Bank of India,Yes,Grow,Commodity,less than 10k,Family support,5k to 15k,Yes,Yes,140
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,5k to 15k,Yes,No,1518
19.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,more than 30k,Family support,5k to 15k,Yes,Yes,2135
19.0,Male,2nd year,BBA,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,97
24.0,Male,4th year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Part - Time Job,less than 5k,Yes,No,10262
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,10k to 30k,Part - Time Job,less than 5k,No,No,508
18.0,Male,1st year,B.Tech,Mechanical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,483
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,500
18.0,Male,1st year,B.Tech,Mechanical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,238
20.0,Male,2nd year,B.Tech,Automobile,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,1197
21.0,Female,3rd year,BBA,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,205
19.0,Male,1st year,B.Tech,Mechanical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,268
22.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,888
21.0,Female,3rd year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Futures & Options;Mutual Funds;Commodity,10k to 30k,Freelancing,less than 5k,Yes,Yes,5212
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,10k to 30k,Part - Time Job,less than 5k,No,No,506
20.0,Female,2nd year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,26
21.0,Female,2nd year,BBA,Not Applicable,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,5894
22.0,Male,2nd year,B.Tech,Civil,Yes,State Bank of India,No,Not Applicable,,10k to 30k,Internship,15k to 30k,Maybe,No,961
22.0,Male,3rd year,B.Tech,Automobile,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,352
18.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,more than 30k,Others,more than 30k,No,No,2402
18.0,Male,1st year,B.Tech,Electrical,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,5k to 15k,No,No,294
19.0,Female,1st year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,316
21.0,Male,2nd year,B.Com,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,223
20.0,Female,2nd year,B.Tech,Electrical,Yes,State Bank of India,Yes,Upstox,Equity;Futures & Options,10k to 30k,Part - Time Job,less than 5k,Maybe,Yes,2158
20.0,Male,1st year,B.Tech,Mechanical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,379
23.0,Male,4th year,B.Tech,Mechanical,Yes,State Bank of India,Yes,Zerodha,Commodity,10k to 30k,Part - Time Job,less than 5k,No,Yes,7912
20.0,Male,3rd year,BBA,Not Applicable,Yes,State Bank of India,Yes,Grow,Commodity,less than 10k,Family support,5k to 15k,Yes,Yes,84
21.0,Male,2nd year,BBA,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,2
18.0,Male,1st year,BBA,Not Applicable,Yes,Pnb,No,Not Applicable,,10k to 30k,Freelancing,5k to 15k,Yes,Yes,0
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options,10k to 30k,Freelancing,less than 5k,Yes,Yes,8146
19.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,Yes,Grow,Equity,less than 10k,Family support,more than 30k,Yes,Yes,134
18.0,Male,1st year,B.Tech,Electrical,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,5k to 15k,No,No,0
18.0,Male,1st year,BBA,Not Applicable,Yes,Pnb,No,Not Applicable,,10k to 30k,Freelancing,5k to 15k,Yes,Yes,110
20.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,896
19.0,Male,3rd year,B.Tech,CSE,Yes,IPPB,No,Not Applicable,,less than 10k,Others,15k to 30k,No,Yes,475
19.0,Male,1st year,B.Tech,Electrical,Yes,PNB,No,Not Applicable,,less than 10k,Family support,5k to 15k,Yes,No,949
20.0,Female,1st year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,106
21.0,Male,1st year,Other,Not Applicable,Yes,HDFC Bank,Yes,Paytm Money,Equity;Mutual Funds,10k to 30k,Family support,5k to 15k,Yes,Yes,5135
19.0,Female,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,189
24.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds;Commodity,less than 10k,Family support,5k to 15k,Yes,Yes,0
22.0,Female,3rd year,B.Tech,CSE,Yes,State Bank of India,Yes,Zerodha,Equity,10k to 30k,Family support,less than 5k,Maybe,Yes,147
21.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
23.0,Female,4th year,B.Tech,CSE,Yes,HDFC Bank,Yes,Angle One,Futures & Options;Mutual Funds,more than 30k,Freelancing,15k to 30k,Yes,Yes,911
20.0,Female,2nd year,B.Tech,Civil,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,277
19.0,Male,1st year,B.Tech,Civil,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,0
19.0,Male,1st year,B.Tech,CSE,Yes,BOB,Yes,Grow,Mutual Funds;Commodity,less than 10k,Family support,less than 5k,Yes,Yes,1237
18.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,184
20.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,Yes,Angle One,Equity;Futures & Options;Commodity,10k to 30k,Internship,5k to 15k,Yes,No,3798
19.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,1416
20.0,Male,2nd year,BBA,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,225
21.0,Male,2nd year,B.Tech,Electrical,Yes,State Bank of India,Yes,Zerodha,Futures & Options,10k to 30k,Family support,less than 5k,No,No,849
22.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,Yes,5416
18.0,Male,1st year,B.Tech,Electrical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
18.0,Male,1st year,B.Tech,Mechanical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,495
19.0,Male,2nd year,B.Com,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
19.0,Male,1st year,B.Tech,Mechanical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,0
21.0,Male,2nd year,BBA,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,256
18.0,Male,1st year,B.Tech,Electrical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,360
20.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,356
21.0,Male,2nd year,B.Com,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,488
19.0,Male,4th year,BA,Not Applicable,Yes,State Bank of India,Yes,Angle One,Equity;Futures & Options;Mutual Funds,less than 10k,Part - Time Job,less than 5k,Yes,Yes,1029
19.0,Female,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
20.0,Male,1st year,B.Tech,Electrical,Yes,Canara ,No,Not Applicable,,less than 10k,Family support,5k to 15k,No,No,856
21.0,Male,1st year,Other,Not Applicable,Yes,Yes bank,No,Not Applicable,,less than 10k,Others,more than 30k,Yes,No,726
19.0,Male,4th year,BA,Not Applicable,Yes,State Bank of India,Yes,Angle One,Equity;Futures & Options;Mutual Funds,less than 10k,Part - Time Job,less than 5k,Yes,Yes,1123
20.0,Male,1st year,B.Tech,Electrical,Yes,Canara ,No,Not Applicable,,less than 10k,Family support,5k to 15k,No,No,959
22.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,Yes,5004
18.0,Male,1st year,B.Tech,Electrical,Yes,India post payments bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,1266
20.0,Female,2nd year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,1230
21.0,Female,2nd year,BBA,Not Applicable,Yes,HDFC Bank,Yes,Angle One,Equity;Futures & Options,10k to 30k,Internship,less than 5k,No,Yes,607
21.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
18.0,Male,1st year,B.Tech,CSE,Yes,Bank of Baroda ,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
24.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds;Commodity,less than 10k,Family support,5k to 15k,Yes,Yes,15
21.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,632
20.0,Male,2nd year,B.Tech,Civil,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,Maybe,Yes,1042
20.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Internship,less than 5k,Maybe,No,499
24.0,Male,4th year,B.Tech,CSE,Yes,HDFC Bank,Yes,Zerodha,Equity;Futures & Options;Mutual Funds,10k to 30k,Startup,5k to 15k,No,No,2291
20.0,Male,2nd year,B.Com,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,398
20.0,Male,3rd year,B.Tech,Automobile,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Internship,less than 5k,Yes,Yes,1397
22.0,Male,3rd year,B.Tech,Electrical,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,0
20.0,Male,1st year,B.Tech,Civil,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
20.0,Male,2nd year,B.Com,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
21.0,Male,2nd year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,895
19.0,Male,1st year,B.Tech,Aerospace,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,0
21.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,663
21.0,Female,2nd year,BBA,Not Applicable,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,5518
22.0,Male,1st year,Other,Not Applicable,Yes,Canara Bank ,Yes,Grow,Others,less than 10k,Family support,less than 5k,Yes,Yes,3398
22.0,Female,3rd year,B.Tech,CSE,Yes,State Bank of India,Yes,Zerodha,Equity,10k to 30k,Family support,less than 5k,Maybe,Yes,397
20.0,Male,3rd year,B.Tech,Automobile,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Internship,less than 5k,Yes,Yes,1135
21.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Angle One,Equity;Futures & Options,less than 10k,Part - Time Job,less than 5k,Yes,Yes,499
18.0,Male,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,more than 30k,Others,more than 30k,No,No,5147
18.0,Male,1st year,BBA,Not Applicable,Yes,Pnb,No,Not Applicable,,10k to 30k,Freelancing,5k to 15k,Yes,Yes,325
18.0,Male,1st year,B.Tech,Mechanical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,289
18.0,Male,1st year,B.Tech,Mechanical,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
19.0,Male,1st year,B.Tech,Electrical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,471
19.0,Female,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
21.0,Male,3rd year,B.Tech,Automobile,Yes,State Bank of India,No,Not Applicable,,less than 10k,Startup,less than 5k,Yes,Yes,1328
24.0,Female,4th year,B.Tech,CSE,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options,10k to 30k,Internship,5k to 15k,Yes,Yes,4841
24.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,No,Not Applicable,,10k to 30k,Family support,5k to 15k,Yes,Yes,3030
20.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,561
21.0,Male,2nd year,B.Tech,Electrical,Yes,State Bank of India,Yes,Zerodha,Futures & Options,10k to 30k,Family support,less than 5k,No,No,778
18.0,Female,1st year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
19.0,Male,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,352
20.0,Male,2nd year,B.Tech,CSE,Yes,Punjab National Bank,Yes,Angle One,Equity;Mutual Funds,less than 10k,Family support,less than 5k,Maybe,Yes,260
20.0,Male,2nd year,B.Tech,Automobile,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,1420
19.0,Male,3rd year,B.Tech,CSE,Yes,IPPB,No,Not Applicable,,less than 10k,Others,15k to 30k,No,Yes,488
20.0,Male,1st year,B.Tech,Mechanical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,217
20.0,Female,2nd year,B.Tech,CSE,Yes,BOB,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
19.0,Female,1st year,B.Tech,Aerospace,Yes,HDFC Bank,No,Not Applicable,,10k to 30k,Family support,5k to 15k,Yes,No,271
21.0,Male,2nd year,B.Tech,Aerospace,Yes,ICICI Bank,Yes,Upstox,Equity;Futures & Options;Mutual Funds,10k to 30k,Internship,less than 5k,No,No,3193
24.0,Male,4th year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Part - Time Job,less than 5k,Yes,No,10245
18.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
19.0,Male,1st year,B.Tech,Automobile,Yes,State Bank of India,Yes,Angle One,Futures & Options;Mutual Funds;Commodity,less than 10k,Family support,less than 5k,Yes,Yes,351
20.0,Female,2nd year,B.Tech,CSE,Yes,BOB,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,278
21.0,Male,3rd year,BBA,Not Applicable,Yes,ICICI Bank,Yes,Grow,Mutual Funds,less than 10k,Internship,5k to 15k,Yes,Yes,2286
21.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Angle One,Equity;Futures & Options,less than 10k,Part - Time Job,less than 5k,Yes,Yes,696
18.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,No,Yes,411
20.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Freelancing,less than 5k,No,Yes,14
21.0,Male,2nd year,BBA,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,411
21.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,5k to 15k,Yes,No,1062
19.0,Male,1st year,B.Tech,Electrical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,272
21.0,Male,1st year,B.Tech,Civil,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,300
20.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,Yes,Yes,716
18.0,Male,1st year,B.Tech,CSE,Yes,Bank of Baroda ,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,210
22.0,Male,4th year,B.Tech,CSE,Yes,Yes Bank,Yes,Grow,Equity;Futures & Options,10k to 30k,Freelancing,5k to 15k,No,No,1094
21.0,Male,2nd year,B.Tech,Aerospace,Yes,State Bank of India,No,Not Applicable,,10k to 30k,Internship,less than 5k,No,No,89
21.0,Male,3rd year,B.Tech,Automobile,Yes,State Bank of India,No,Not Applicable,,less than 10k,Startup,less than 5k,Yes,Yes,1486
21.0,Male,1st year,Other,Not Applicable,Yes,Bank of Baroda ,No,Not Applicable,,more than 30k,Family support,more than 30k,No,Yes,216
18.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,0
18.0,Male,1st year,B.Tech,Mechanical,Yes,Kotak 811,Yes,Kotak neo,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Family support,5k to 15k,Yes,Yes,2057
21.0,Female,3rd year,BBA,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,139
21.0,Female,3rd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Zerodha,Futures & Options,10k to 30k,Freelancing,5k to 15k,Yes,Yes,396
20.0,Male,2nd year,BA,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,295
24.0,Male,4th year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Part - Time Job,less than 5k,Yes,No,10462
20.0,Male,3rd year,B.Tech,CSE,No,Not Available,No,Not Applicable,,10k to 30k,Others,5k to 15k,No,Yes,2374
18.0,Male,1st year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,No,Yes,234
21.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Angle One,Equity;Futures & Options,less than 10k,Part - Time Job,less than 5k,Yes,Yes,503
18.0,Male,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,more than 30k,Others,more than 30k,No,No,4876
19.0,Male,1st year,B.Com,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Part - Time Job,less than 5k,Yes,Yes,2058
20.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Equity;Mutual Funds;Others,less than 10k,Family support,less than 5k,Maybe,Yes,380
22.0,Male,3rd year,B.Tech,Electrical,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,135
18.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,526
20.0,Male,2nd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Grow,Futures & Options,less than 10k,Family support,less than 5k,Yes,No,519
20.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Freelancing,less than 5k,No,Yes,174
22.0,Male,4th year,B.Tech,CSE,Yes,Yes Bank,Yes,Grow,Equity;Futures & Options,10k to 30k,Freelancing,5k to 15k,No,No,1048
21.0,Female,2nd year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,10k to 30k,Family support,less than 5k,Yes,Yes,623
24.0,Female,4th year,B.Tech,CSE,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options,10k to 30k,Internship,5k to 15k,Yes,Yes,5262
18.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,832
19.0,Female,1st year,B.Tech,CSE,Yes,ICICI Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
20.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,No,No,3315
25.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,Yes,Grow,Others,less than 10k,Freelancing,less than 5k,Yes,Yes,5435
18.0,Male,1st year,BBA,Not Applicable,Yes,Pnb,No,Not Applicable,,10k to 30k,Freelancing,5k to 15k,Yes,Yes,0
19.0,Male,1st year,BBA,Not Applicable,Yes,Jk,Yes,Grow,Mutual Funds,10k to 30k,Family support,5k to 15k,No,No,453
22.0,Male,3rd year,B.Com,Not Applicable,Yes,ICICI Bank,Yes,Angle One,Equity,10k to 30k,Part - Time Job,less than 5k,No,No,4601
21.0,Male,3rd year,B.Tech,CSE,Yes,HDFC Bank,Yes,Zerodha,Equity;Futures & Options;Mutual Funds,less than 10k,Family support,less than 5k,No,No,0
19.0,Male,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,145
24.0,Female,4th year,B.Tech,CSE,Yes,State Bank of India,Yes,Zerodha,Equity;Futures & Options,10k to 30k,Internship,5k to 15k,Yes,Yes,5026
21.0,Male,1st year,Other,Not Applicable,Yes,Bank of Baroda ,No,Not Applicable,,more than 30k,Family support,more than 30k,No,Yes,142
20.0,Male,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Maybe,No,383
18.0,Male,1st year,B.Tech,CSE,Yes,Bank of Baroda ,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,48
24.0,Male,4th year,B.Tech,Automobile,Yes,HDFC Bank,Yes,Upstox,Commodity;Others,less than 10k,Part - Time Job,less than 5k,Yes,Yes,964
20.0,Male,3rd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Part - Time Job,less than 5k,No,No,3007
20.0,Male,2nd year,Other,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Freelancing,less than 5k,Yes,No,4089
21.0,Female,2nd year,B.Tech,CSE,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,No,119
19.0,Male,1st year,B.Tech,CSE,Yes,HDFC Bank,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,93
23.0,Female,4th year,B.Tech,CSE,Yes,HDFC Bank,Yes,Angle One,Futures & Options;Mutual Funds,more than 30k,Freelancing,15k to 30k,Yes,Yes,745
19.0,Male,1st year,B.Tech,CSE,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,865
20.0,Male,2nd year,B.Tech,CSE,Yes,State Bank of India,Yes,Grow,Futures & Options;Mutual Funds,less than 10k,Family support,less than 5k,Yes,Yes,222
20.0,Male,2nd year,BA,Not Applicable,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,395
20.0,Male,2nd year,Other,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds,10k to 30k,Freelancing,less than 5k,Yes,No,4014
24.0,Male,1st year,Other,Not Applicable,Yes,State Bank of India,Yes,Grow,Equity;Futures & Options;Mutual Funds;Commodity,less than 10k,Family support,5k to 15k,Yes,Yes,0
21.0,Male,2nd year,BBA,Not Applicable,Yes,State Bank of India,Yes,Zerodha,Futures & Options,less than 10k,Internship,less than 5k,No,No,0
19.0,Male,2nd year,B.Com,Not Applicable,No,Not Available,No,Not Applicable,,less than 10k,Family support,less than 5k,No,No,0
20.0,Male,1st year,B.Tech,Electrical,Yes,State Bank of India,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,297
22.0,Male,1st year,Other,Not Applicable,Yes,Canara Bank ,Yes,Grow,Others,less than 10k,Family support,less than 5k,Yes,Yes,3147
19.0,Female,1st year,B.Tech,Aerospace,Yes,HDFC Bank,No,Not Applicable,,10k to 30k,Family support,5k to 15k,Yes,No,0
20.0,Male,1st year,B.Tech,Aerospace,Yes,Jk bank,No,Not Applicable,,less than 10k,Family support,less than 5k,Yes,Yes,628
18.0,Male,1st year,B.Tech,Mechanical,Yes,Kotak 811,Yes,Kotak neo,Equity;Futures & Options;Mutual Funds;Commodity,10k to 30k,Family support,5k to 15k,Yes,Yes,2209
