"Timestamp","Age","Gender","Year of study","Course/Program","Branch","Do you have bank Account","Name of bank where you have account","Do you have DEMAT/Trading Account?","Name of your broker where you have DEMAT account","If you have DEMAT account then in which segment you trade?","What is monthly income ?","Tell your source of income ","What is your monthly expenses?","  Do you track your expenses?  ","  Do you understand the concept of budgeting?  ","What is your average monthly Savings?"
"2026/04/19 1:00:23 pm GMT+5:30","20","Male","1st year","B.Tech","CSE","Yes","State Bank of India","Yes","Grow","Equity;Futures & Options","less than 10k","Part - Time Job","less than 5k","Maybe","Yes","500"
"2026/04/19 1:01:08 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Yes","Yes","800"
"2026/04/19 1:01:52 pm GMT+5:30","20","Male","1st year","B.Tech","CSE","Yes","ICICI Bank","Yes","Zerodha","Futures & Options;Mutual Funds","less than 10k","Family support","less than 5k","Yes","Yes","657"
"2026/04/19 1:03:58 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","657"
"2026/04/19 1:04:58 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","Punjab National Bank","Yes","Angle One","Equity;Mutual Funds","less than 10k","Family support","less than 5k","Maybe","Yes","456"
"2026/04/19 1:05:47 pm GMT+5:30","22","Male","3rd year","B.Tech","Electrical","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","Maybe","No","0"
"2026/04/19 1:06:49 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","ICICI Bank","No","","","less than 10k","Part - Time Job","less than 5k","Maybe","No","300"
"2026/04/19 1:07:26 pm GMT+5:30","22","Male","3rd year","B.Tech","Automobile","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 1:08:38 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","Yes","Zerodha","Equity;Mutual Funds;Commodity","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 1:09:07 pm GMT+5:30","20","Female","2nd year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","Yes","Yes","200"
"2026/04/19 1:10:06 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 1:12:54 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","Yes","Grow","Futures & Options;Mutual Funds","less than 10k","Family support","less than 5k","Yes","Yes","200"
"2026/04/19 1:13:33 pm GMT+5:30","20","Female","2nd year","B.Tech","CSE","Yes","BOB","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 1:14:23 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Part - Time Job","less than 5k","Yes","Yes","300"
"2026/04/19 1:15:46 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","670"
"2026/04/19 1:19:52 pm GMT+5:30","21","Female","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 1:20:44 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","Yes","Grow","Equity;Futures & Options","10k to 30k","Freelancing","less than 5k","Yes","Yes","8000"
"2026/04/19 1:49:31 pm GMT+5:30","21","Female","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","No","0"
"2026/04/19 1:50:09 pm GMT+5:30","21","Male","2nd year","B.Tech","Automobile","Yes","BOB","Yes","Grow","Futures & Options","less than 10k","Part - Time Job","less than 5k","Yes","No","500"
"2026/04/19 1:50:30 pm GMT+5:30","21","Male","2nd year","BBA","","No","","","","","less than 10k","Family support","less than 5k","Maybe","No","0"
"2026/04/19 1:51:10 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","HDFC Bank","Yes","Angle One","Equity;Futures & Options","less than 10k","Part - Time Job","less than 5k","Yes","Yes","500"
"2026/04/19 1:51:57 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","HDFC Bank","Yes","Grow","Futures & Options","less than 10k","Family support","less than 5k","Yes","No","600"
"2026/04/19 1:52:26 pm GMT+5:30","20","Male","2nd year","BBA","","No","","","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 1:53:19 pm GMT+5:30","19","Female","1st year","B.Tech","Aerospace","Yes","HDFC Bank","No","","","10k to 30k","Family support","5k to 15k","Yes","No","0"
"2026/04/19 1:54:01 pm GMT+5:30","19","Male","1st year","B.Tech","CSE","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 1:54:50 pm GMT+5:30","22","Male","3rd year","B.Tech","Mechanical","Yes","Yes Bank","No","","","less than 10k","Others","less than 5k","Yes","No","0"
"2026/04/19 1:55:44 pm GMT+5:30","24","Male","4th year","B.Tech","Aerospace","Yes","HDFC Bank","Yes","Grow","Futures & Options","10k to 30k","Startup","5k to 15k","Yes","Yes","9000"
"2026/04/19 1:56:45 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","ICICI Bank","Yes","Grow","Futures & Options","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 1:57:29 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","Yes","Angle One","Futures & Options","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 1:59:24 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Others","less than 5k","Yes","Yes","760"
"2026/04/19 1:59:55 pm GMT+5:30","20","Female","2nd year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","Maybe","No","0"
"2026/04/19 2:09:48 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","Yes","No","300"
"2026/04/19 2:10:23 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","HDFC Bank","No","","","less than 10k","Family support","less than 5k","Yes","Yes","300"
"2026/04/19 8:23:06 pm GMT+5:30","21","Male","1st year","B.Tech","Civil","No","","","","","less than 10k","Family support","less than 5k","No","No","0"
"2026/04/19 8:25:14 pm GMT+5:30","18","Male","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Part - Time Job","less than 5k","No","Yes","0"
"2026/04/19 8:26:16 pm GMT+5:30","22","Male","4th year","B.Tech","CSE","Yes","Canara ","Yes","Grow","Others","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 8:27:19 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","5k to 15k","Maybe","Yes","0"
"2026/04/19 8:27:27 pm GMT+5:30","18","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","more than 30k","Others","more than 30k","No","No","1928"
"2026/04/19 8:29:09 pm GMT+5:30","19","Male","1st year","B.Tech","CSE","No","","","","","more than 30k","Family support","5k to 15k","Yes","Yes","2000"
"2026/04/19 8:30:28 pm GMT+5:30","18","Male","1st year","B.Tech","CSE","Yes","HDFC Bank","No","","","more than 30k","Others","more than 30k","No","No","5000"
"2026/04/19 8:30:47 pm GMT+5:30","23","Male","3rd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","Yes","0"
"2026/04/19 8:31:13 pm GMT+5:30","19","Male","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","Yes","No","1000"
"2026/04/19 8:33:27 pm GMT+5:30","17","Male","1st year","B.Tech","CSE","No","","","","","less than 10k","Family support","less than 5k","No","No","1000"
"2026/04/19 8:34:34 pm GMT+5:30","Puri jagannadh","Male","2nd year","Other","","Yes","State Bank of India","Yes","IND Super Money ","Equity","less than 10k","Family support","less than 5k","Maybe","Yes","0"
"2026/04/19 8:40:10 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Internship","less than 5k","Yes","No","0"
"2026/04/19 8:43:34 pm GMT+5:30","21","Male","2nd year","BBA","","No","","","","","less than 10k","Part - Time Job","less than 5k","Yes","No","1000"
"2026/04/19 8:44:06 pm GMT+5:30","20","Male","1st year","B.Tech","Civil","No","","","","","less than 10k","Family support","less than 5k","No","No","87"
"2026/04/19 8:44:42 pm GMT+5:30","20","Female","1st year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","65"
"2026/04/19 8:45:45 pm GMT+5:30","20","Female","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Part - Time Job","less than 5k","Yes","No","657"
"2026/04/19 8:46:11 pm GMT+5:30","22","Male","3rd year","B.Tech","Mechanical","No","","","","","less than 10k","Family support","less than 5k","No","No","658"
"2026/04/19 8:46:50 pm GMT+5:30","20","Male","2nd year","B.Tech","CSE","Yes","ICICI Bank","No","","","10k to 30k","Part - Time Job","less than 5k","No","No","687"
"2026/04/19 8:47:24 pm GMT+5:30","21","Female","2nd year","BBA","","Yes","HDFC Bank","Yes","Angle One","Equity;Futures & Options","10k to 30k","Internship","less than 5k","No","Yes","675"
"2026/04/19 8:47:55 pm GMT+5:30","22","Male","2nd year","B.Tech","Civil","Yes","State Bank of India","No","","","10k to 30k","Internship","15k to 30k","Maybe","No","564"
"2026/04/19 8:48:24 pm GMT+5:30","23","Male","2nd year","B.Tech","CSE","No","","","","","less than 10k","Freelancing","less than 5k","Yes","Yes","756"
"2026/04/19 8:49:08 pm GMT+5:30","21","Male","2nd year","Other","","Yes","State Bank of India","No","","","10k to 30k","Family support","less than 5k","Yes","Yes","678"
"2026/04/19 8:49:33 pm GMT+5:30","21","Male","2nd year","B.Com","","No","","","","","less than 10k","Family support","less than 5k","Yes","Yes","65"
"2026/04/19 8:50:18 pm GMT+5:30","21","Male","2nd year","BBA","","Yes","BOB","Yes","Zerodha","Equity;Futures & Options","10k to 30k","Freelancing","less than 5k","Yes","Yes","3798"
"2026/04/19 8:50:43 pm GMT+5:30","22","Male","2nd year","B.Com","","No","","","","","less than 10k","Family support","less than 5k","Yes","Yes","4545"
"2026/04/19 8:51:33 pm GMT+5:30","21","Male","2nd year","BBA","","Yes","State Bank of India","Yes","Zerodha","Futures & Options","less than 10k","Internship","less than 5k","No","No","0"
"2026/04/19 8:52:11 pm GMT+5:30","23","Male","3rd year","B.Tech","Automobile","Yes","State Bank of India","No","","","less than 10k","Family support","less than 5k","No","No","68"
"2026/04/19 8:52:44 pm GMT+5:30","21","Male","2nd year","B.Tech","Electrical","Yes","State Bank of India","Yes","Zerodha","Futures & Options","10k to 30k","Family support","less than 5k","No","No","456"
"2026/04/19 8:53:28 pm GMT+5:30","21","Male","2nd year","B.Tech","Aerospace","Yes","State Bank of India","No","","","10k to 30k","Internship","less than 5k","No","No","48"
"2026/04/19 8:54:25 pm GMT+5:30","22","Male","3rd year","B.Com","","Yes","ICICI Bank","Yes","Angle One","Equity","10k to 30k","Part - Time Job","less than 5k","No","No","4532"
"2026/04/19 8:54:57 pm GMT+5:30","21","Female","2nd year","B.Tech","CSE","Yes","HDFC Bank","No","","","10k to 30k","Family support","less than 5k","Yes","Yes","567"
"2026/04/19 8:55:30 pm GMT+5:30","21","Female","2nd year","BBA","","Yes","ICICI Bank","No","","","less than 10k","Family support","less than 5k","No","No","5648"
"2026/04/19 8:56:08 pm GMT+5:30","21","Female","3rd year","B.Tech","CSE","Yes","HDFC Bank","Yes","Zerodha","Futures & Options","10k to 30k","Freelancing","5k to 15k","Yes","Yes","463"
"2026/04/19 8:56:49 pm GMT+5:30","23","Female","4th year","B.Tech","CSE","Yes","HDFC Bank","Yes","Angle One","Futures & Options;Mutual Funds","more than 30k","Freelancing","15k to 30k","Yes","Yes","675"
"2026/04/19 8:57:47 pm GMT+5:30","22","Female","2nd year","B.Tech","Aerospace","Yes","HDFC Bank","Yes","Angle One","Futures & Options;Mutual Funds","less than 10k","Family support","less than 5k","Yes","Yes","785"
"2026/04/19 8:58:41 pm GMT+5:30","21","Male","2nd year","B.Tech","Civil","No","","","","","less than 10k","Family support","less than 5k","Yes","No","890"
"2026/04/19 8:59:20 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","Yes","State Bank of India","No","","","less than 10k","Internship","less than 5k","Maybe","No","456"
"2026/04/19 9:04:46 pm GMT+5:30","21","Male","2nd year","B.Tech","CSE","No","","","","","10k to 30k","Family support","less than 5k","Yes","Yes","47"
